Tanggal,Indikator_Harga,Periode,Bulan,Minggu,Tahun,Data_Source,Last_Updated
2023-01-01,-1.34,Januari'23,Januari'23,,2023,uploaded,2025-10-22 08:11:25.928698
2023-01-08,0.93,Januari'23,Januari'23,,2023,uploaded,2025-10-22 08:11:25.930699
2023-02-08,1.36,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:11:25.933206
2023-02-15,1.82,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:11:25.935216
2023-02-22,2.18,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:11:25.937223
2023-03-01,-1.27,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:11:25.938216
2023-03-08,-1.49,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:11:25.939216
2023-03-15,-1.06,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:11:25.941217
2023-03-22,-0.83,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:11:25.941217
2023-03-29,-0.853,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:11:25.943739
2023-04-01,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:11:25.978321
2023-04-08,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:11:25.980323
2023-04-22,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:11:25.986875
2023-05-01,0.189,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:11:25.989876
2023-05-08,0.508,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:11:25.995406
2023-05-15,0.718,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:11:25.997427
2023-05-22,1.258,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:11:26.002915
2023-05-29,1.536,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:11:26.004932
2023-06-01,1.655,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:11:26.013442
2023-06-08,1.649,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:11:26.019461
2023-06-15,1.644,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:11:26.025987
2023-06-22,1.071,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:11:26.028987
2023-07-01,-0.02,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:11:26.031989
2023-07-08,0.115,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:11:26.039523
2023-07-15,0.13,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:11:26.043030
2023-07-22,0.093,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:11:26.046049
2023-08-01,-0.03,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:11:26.048049
2023-08-08,-0.737,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:11:26.050049
2023-08-15,-0.888,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:11:26.052051
2023-08-22,-0.9,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:11:26.053558
2023-09-01,-0.548,September'23,September'23,,2023,uploaded,2025-10-22 08:11:26.055564
2023-09-08,-0.6,September'23,September'23,,2023,uploaded,2025-10-22 08:11:26.056566
2023-09-15,-0.404,September'23,September'23,,2023,uploaded,2025-10-22 08:11:26.058570
2023-09-22,-0.37,September'23,September'23,,2023,uploaded,2025-10-22 08:11:26.059569
2023-10-01,0.101,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:11:26.061566
2023-10-08,0.221,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:11:26.061566
